student_id,first_name,last_name,age,gender,grade_level,attendance_rate,math_score,science_score,english_score,average_score,assignments_completed,behavior_incidents,previous_failures,study_hours_per_week,extracurricular,notify_parents
S0001,Owen,Morgan,16,Male,10,69.2,79,75,66,73.33,78.8,4,0,16.3,No,Yes
S0002,Aaron,Gutierrez,17,Male,11,84.1,62,91,64,72.33,64.3,1,0,14.2,No,No
S0003,Zoey,Taylor,15,Female,9,81.5,96,71,65,77.33,79.0,0,1,17.7,Yes,No
S0004,Eleanor,Perez,15,Female,9,96.3,83,70,85,79.33,89.6,2,1,17.7,No,No
S0005,Samuel,Hill,12,Male,6,63.6,73,99,71,81.0,70.1,4,0,5.8,No,Yes
S0006,Levi,Cooper,14,Male,8,82.7,57,97,71,75.0,78.8,6,0,10.9,No,No
S0007,Evelyn,Smith,14,Female,8,79.9,74,54,70,66.0,94.0,1,0,2.1,Yes,Yes
S0008,John,Roberts,18,Male,12,83.9,71,100,69,80.0,91.4,1,0,8.0,Yes,No
S0009,Noah,Kelly,18,Male,12,63.9,83,96,41,73.33,58.9,3,0,5.3,No,Yes
S0010,Aria,Murphy,13,Female,7,91.7,90,57,92,79.67,69.2,5,0,13.7,Yes,Yes
S0011,Theodore,Flores,16,Male,10,85.3,82,75,48,68.33,61.6,3,0,6.3,No,Yes
S0012,Sophia,Johnson,15,Female,9,93.8,43,46,55,48.0,73.9,4,4,17.6,No,Yes
S0013,Chloe,Adams,18,Female,12,82.2,84,61,58,67.67,86.7,0,4,3.2,Yes,Yes
S0014,Noah,Jackson,16,Male,10,77.8,64,64,55,61.0,97.7,1,0,0.3,No,Yes
S0015,Sofia,Hall,13,Female,7,85.1,72,92,56,73.33,62.4,1,2,14.1,No,Yes
S0016,Lincoln,Flores,14,Male,8,90.1,91,70,97,86.0,93.1,0,2,12.8,Yes,No
S0017,Grace,Kelly,17,Female,11,91.8,74,53,94,73.67,85.9,1,0,10.2,Yes,No
S0018,Eli,Turner,14,Male,8,75.7,52,50,97,66.33,80.1,3,1,8.5,Yes,Yes
S0019,Elijah,Hall,16,Male,10,89.0,85,81,89,85.0,88.8,0,1,7.6,No,No
S0020,John,Cook,15,Male,9,60.5,69,98,77,81.33,65.9,3,0,18.0,No,Yes
S0021,Victoria,Clark,13,Female,7,83.1,90,62,66,72.67,93.2,2,0,5.3,No,No
S0022,Evelyn,Kelly,17,Female,11,90.0,57,58,76,63.67,96.6,2,3,16.9,Yes,Yes
S0023,Luna,Campbell,12,Female,6,99.2,56,48,61,55.0,68.3,0,3,6.5,Yes,Yes
S0024,Lillian,Flores,16,Female,10,79.1,40,46,49,45.0,77.5,0,1,11.2,Yes,Yes
S0025,David,Edwards,12,Male,6,81.4,78,70,56,68.0,87.2,0,1,7.4,No,No
S0026,Mila,Ward,12,Female,6,82.0,72,83,74,76.33,85.9,2,0,3.6,Yes,No
S0027,Addison,Peterson,18,Female,12,77.4,69,55,53,59.0,90.7,4,1,17.1,No,Yes
S0028,Aubrey,Chavez,17,Female,11,82.0,86,49,48,61.0,84.3,2,1,2.6,Yes,No
S0029,Adrian,Miller,18,Male,12,71.3,74,41,59,58.0,71.8,2,1,16.3,No,Yes
S0030,Skylar,Brown,13,Female,7,94.3,52,93,93,79.33,84.6,1,3,12.6,No,No
S0031,Mia,Young,17,Female,11,81.3,84,50,47,60.33,83.1,4,2,16.8,No,Yes
S0032,Mason,Perez,16,Male,10,81.2,43,99,84,75.33,89.8,1,1,2.0,No,No
S0033,Ava,Anderson,16,Female,10,69.7,91,81,91,87.67,82.1,4,0,19.3,No,Yes
S0034,Carter,Cook,13,Male,7,73.1,72,95,94,87.0,84.2,0,1,10.0,Yes,No
S0035,Bella,Jones,16,Female,10,89.3,57,89,67,71.0,91.0,0,1,11.1,No,No
S0036,Amelia,Hernandez,18,Female,12,77.6,45,56,50,50.33,85.5,3,2,3.8,No,Yes
S0037,Samuel,Taylor,13,Male,7,98.9,42,70,99,70.33,66.0,3,1,4.6,No,Yes
S0038,Mia,Scott,12,Female,6,82.2,51,50,55,52.0,61.6,3,4,11.3,Yes,Yes
S0039,Audrey,White,17,Female,11,86.7,92,64,45,67.0,77.9,3,0,4.9,No,Yes
S0040,Carter,Reed,12,Male,6,84.4,70,88,100,86.0,70.0,3,0,2.4,Yes,No
S0041,Nora,Martinez,18,Female,12,71.0,93,59,56,69.33,79.8,0,0,13.8,No,Yes
S0042,Mason,King,15,Male,9,72.9,75,59,98,77.33,74.3,2,0,8.6,Yes,No
S0043,Chloe,Ortiz,17,Female,11,92.1,61,75,59,65.0,67.6,1,0,19.8,No,Yes
